"ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count"
"1450","11","2021-10-04 17:33:55","2021-10-04 21:33:55",,"THING",,"publish","open","open",,"thing",,,"2024-05-29 13:00:53","2024-05-29 17:00:53",,"0","https://shad-base.com/?post_type=comic&#038;p=1450","0","comic",,"0"
"1453","11","2021-03-21 17:51:26","2021-03-21 21:51:26",,"YOUR IDEAL THING",,"publish","open","open",,"your-ideal-thing",,,"2024-05-29 13:00:53","2024-05-29 17:00:53",,"0","https://shad-base.com/?post_type=comic&#038;p=1453","0","comic",,"0"
"1463","11","2020-06-18 17:56:11","2020-06-18 21:56:11",,"CHEERLEADER PREGNANT UPDATE",,"publish","open","open",,"cheerleader-pregnant-update",,,"2024-05-29 13:00:53","2024-05-29 17:00:53",,"0","https://shad-base.com/?post_type=comic&#038;p=1463","0","comic",,"0"
"1650","11","2023-06-23 07:09:50","2023-06-23 11:09:50",,"YABBA GABAGOOL",,"publish","open","open",,"yabba-gabagool",,,"2024-05-29 13:00:53","2024-05-29 17:00:53",,"0","https://shad-base.com/?post_type=comic&#038;p=1650","0","comic",,"0"
"1653","11","2023-06-23 07:12:02","2023-06-23 11:12:02",,"COP",,"publish","open","open",,"cop",,,"2024-05-29 13:00:53","2024-05-29 17:00:53",,"0","https://shad-base.com/?post_type=comic&#038;p=1653","0","comic",,"0"
"1656","11","2023-06-30 07:13:31","2023-06-30 11:13:31",,"Raven and her Mom",,"publish","open","open",,"raven-and-her-mom",,,"2024-05-29 17:04:50","2024-05-29 21:04:50",,"0","https://shad-base.com/?post_type=comic&#038;p=1656","0","comic",,"0"
"1659","11","2023-07-09 07:14:30","2023-07-09 11:14:30",,"Warzone",,"publish","open","open",,"warzone",,,"2024-05-29 13:00:53","2024-05-29 17:00:53",,"0","https://shad-base.com/?post_type=comic&#038;p=1659","0","comic",,"0"
"1663","11","2023-07-10 07:15:22","2023-07-10 11:15:22",,"Tried a different style",,"publish","open","open",,"tried-a-different-style",,,"2024-05-29 13:00:53","2024-05-29 17:00:53",,"0","https://shad-base.com/?post_type=comic&#038;p=1663","0","comic",,"0"
"1666","11","2023-07-12 07:16:39","2023-07-12 11:16:39",,"Succubus Belle",,"publish","open","open",,"succubus-belle",,,"2024-05-29 13:00:53","2024-05-29 17:00:53",,"0","https://shad-base.com/?post_type=comic&#038;p=1666","0","comic",,"0"
"1669","11","2023-07-24 07:19:23","2023-07-24 11:19:23",,"kuromi",,"publish","open","open",,"kuromi",,,"2024-05-29 13:00:53","2024-05-29 17:00:53",,"0","https://shad-base.com/?post_type=comic&#038;p=1669","0","comic",,"0"
"1679","11","2023-07-23 07:27:41","2023-07-23 11:27:41",,"corium dermis",,"publish","open","open",,"corium-dermis",,,"2024-05-29 13:00:53","2024-05-29 17:00:53",,"0","https://shad-base.com/?post_type=comic&#038;p=1679","0","comic",,"0"
